LABEL,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,GROUP_ID,GROUP_NAME,meta_vidID,meta_date,meta_flow_direction,meta_frame_rate,meta_ridge_angle,meta_calib_angle,meta_true_angle,meta_ridge_number,meta_ridge_spacing,meta_ridge_width,meta_ridge_design,meta_gap_size,meta_gutter_number,meta_gutter_size,meta_channel_width,meta_flowrate,meta_sheath_number,meta_media,meta_cell_conc,spots_AREA_mean,spots_POSITION_X_min,spots_POSITION_X_mean,spots_POSITION_X_max,spots_POSITION_Y_min,spots_POSITION_Y_mean,spots_POSITION_Y_max,spots_MEAN_INTENSITY_CH1_mean
Track_31773,0,1977,1,0,0,0,9,1985.0,0.0,1985.0,0.4962639480183756,1000.0579189669389,207.70949136867898,0.0,0.09152472552092071,9.585628659035942,0.0,0.05952380952382441,0.23340934901599403,0.9249738729627192,186.36629807158565,9.48407057577196,0.0026628416894762504,2.500070267095091E-4,0.002731579092825168,1.543429967004209,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,29.71421345472939,999.6802721088436,1000.0579189669356,1007.2522522522523,201.34939759036143,207.70949136867802,208.69590643274853,114.88743486626983
Track_31775,2,10489,1,0,0,0,1,10489.0,0.0,10489.0,0.19568878092896508,1474.898702725415,280.9235929754078,0.0,0.5249793653813608,1.5646494022327666,0.0,0.42235848508311236,0.38025056283572434,0.5568583434553662,5506.466892533138,1.2033839545691019,3.553799282700171E-5,1.8656571735052445E-5,3.55377238903471E-5,2.053629612788086,0,Ungrouped,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,38.479645342740014,1474.4155844155844,1474.898702725427,1475.8048780487804,280.30555555555554,280.92359297541327,281.6625,110.23068932437312
Track_31776,3,456,2,0,0,0,4,461.0,0.0,461.0,832.4507076317502,711.33568246768,120.41264996311243,0.0,2.062025994650032,25.840116040810894,0.0,0.6437789140192524,4.640127674922865,0.751186049755728,938.6736509751164,832.4507076317502,0.8868371949792995,1.8057499080949029,0.8757163647693857,1.3095673177835687,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,45.854166666666664,3.52991452991453,711.3356824676799,833.9444444444445,65.67037037037036,120.41264996311259,151.15942028985506,125.63990915847822
Track_31777,4,69,2,0,0,0,1,70.0,0.0,70.0,802.7201740719706,578.1153881551826,225.79483272280655,0.0,11.251012418975284,26.457218727015352,0.0789794137032648,2.76090790827534,11.408504000078302,0.8431421989116116,814.1354538919608,802.7201740719706,0.985978647944369,11.467431058171009,1.0192354813181723,0.4149025673031114,2,pass,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,42.53623188405797,10.309309309309308,578.1153881551827,812.7004219409283,201.23723723723722,225.79483272280652,239.57894736842104,126.51423675619175
Track_31778,5,460,8,0,0,0,5,474.0,0.0,474.0,0.1236310546030466,322.08688844530246,134.64116415179947,0.0,0.34750983867750096,7.277686624570571,0.0,0.24748821093485213,0.5168988889285313,0.23691624241030734,166.52544996911888,6.581910327538404,7.424153763041819E-4,2.6082500971106877E-4,7.505543172638683E-4,2.0304016440039283,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,71.37608695652175,316.77083333333337,322.08688844530246,323.02908277404924,130.2027027027027,134.6411641517995,135.4655172413793,113.05940628378747
Track_31779,6,304,2,0,0,0,3,307.0,0.0,307.0,852.5166624399772,687.9719722900799,135.15881025109448,0.0,2.9893496038418172,23.183088404272894,0.0,1.117968359727888,4.975038374861658,0.9366165539739948,931.6974561330144,852.5166624399772,0.9150144790330597,2.7769272392181668,0.9289402737135021,0.9653303187984169,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,45.23684210526316,3.2473118279569895,687.9719722900805,851.7252747252747,64.83164983164983,135.1588102510945,163.59607843137255,122.68488945927074
Track_31780,7,464,0,0,0,0,0,463.0,0.0,463.0,795.407269214694,646.4230846545095,104.38063020408254,0.0,1.940423767155165,22.312209120271536,0.008213949880385015,0.971053556314153,4.115128703945472,0.938558611312303,898.4162041928416,795.407269214694,0.8853438590072034,1.7179422661224493,0.8853438590072036,1.295847774550873,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,43.62176724137931,36.01481481481482,646.4230846545092,827.7364341085271,66.98969072164948,104.38063020408255,150.52083333333331,114.82514507150883
Track_31781,8,305,1,0,0,0,5,309.0,0.0,309.0,650.2017025700261,401.63850094630413,144.3639513891372,0.0,2.252543303144521,25.88757982154476,0.01568292372454524,1.7106376920068251,3.127110870576746,0.9236210954971,692.685816196198,650.2017025700261,0.9386675565850787,2.10421262967646,0.9341496905915223,0.6514115580477716,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,37.03606557377049,10.392857142857142,401.6385009463042,651.2324561403508,66.6969696969697,144.36395138913724,188.15261044176705,122.8349537408517
Track_31782,9,189,1,0,0,0,7,195.0,0.0,195.0,390.2110630534974,264.00188545850517,115.48459056253628,0.0,2.1510620590503464,17.55451054386992,0.060947193343847496,1.701354742658663,2.27707805438537,0.9389039065156665,413.6436235792332,390.2110630534974,0.9433508479522174,2.00108237463332,0.9302764493539347,0.5947079318750154,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,41.976190476190474,8.621794871794872,264.0018854585052,390.9573643410853,66.72101449275362,115.48459056253628,151.65503875968992,125.4956124098151
Track_31783,10,125,2,0,0,0,1,126.0,0.0,126.0,712.0213574428395,506.20304936189797,110.51934617041542,0.0,5.652030082756725,21.762665355832663,1.678006688660037,3.259271999463508,5.5703729539992075,0.9283994855880737,726.1949793695919,712.0213574428395,0.9804823465743918,5.650963154308251,0.9998112309324522,0.22895807301808307,1,deflected,30_15_30,2021-08-27,Left,3000,15.0,0.920334966849057,15.920334966849056,5,240,20,Straight,6.89,2,80,560,75,2,Flow Buffer,1.5,42.656,3.6338028169014085,506.2030493618979,710.5708812260536,67.00378787878788,110.5193461704154,158.4022988505747,130.58332616729052
