index,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,GROUP_ID,GROUP_NAME,meta_vidID,meta_ridge_angle,meta_calib_angle,meta_true_angle,meta_ridge_number,meta_ridge_spacing,meta_ridge_width,meta_ridge_design,meta_gap_size,meta_gutter_number,meta_gutter_size,meta_channel_width,meta_flowrate,meta_sheath_number,meta_media,meta_cell_conc,spots_AREA_mean,spots_POSITION_X_min,spots_POSITION_X_mean,spots_POSITION_X_max,spots_POSITION_Y_min,spots_POSITION_Y_mean,spots_POSITION_Y_max,spots_MEAN_INTENSITY_CH1_mean
195,Track_50379,561,561,51,5,0,0,0,2,56.0,3464.0,3520.0,926.7471535365548,483.2864745774134,213.99415512100268,0.0,16.607707956861006,21.457663687703157,7.008039130732028,18.586447867343217,4.4704957087349,0.8161095982673121,942.3648962081288,926.7471535365548,0.9834270750805592,16.549056313152764,0.9964684082920658,0.1432925689718556,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,37.40196078431372,5.305164319248827,483.2864745774134,931.6529680365297,185.05936073059362,213.99415512100268,230.40096618357487,102.44261012166723
196,Track_50380,562,562,128,3,0,0,0,1,130.0,3467.0,3597.0,1491.2898689096287,718.2915538290938,182.62191515405166,0.0,11.527154581593608,19.788048736289152,0.6220816150889648,15.16185667501965,6.571044520872384,0.909006719244644,1515.4723421324743,1491.2898689096287,0.984042946512097,11.471460530074067,0.9951684475882302,0.1773097031266713,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,43.265625,9.460093896713614,718.2915538290938,1500.3722943722944,151.45238095238096,182.62191515405166,211.29803921568626,97.95731559985506
197,Track_50382,564,564,124,2,0,0,0,1,125.0,3483.0,3608.0,1487.2863366959568,745.1011457849235,192.26634183969023,0.0,11.984487491076067,21.163056768516054,0.39593965203075887,16.209719072966802,7.734334507159649,0.8781950781422276,1510.4678529513203,1487.2863366959568,0.9846527576140937,11.898290693567654,0.992807635906617,0.19951396419815454,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,44.04032258064516,3.161764705882353,745.1011457849235,1490.2631578947369,164.44322344322345,192.26634183969023,218.71851851851852,98.09400742999563
198,Track_50386,568,568,94,6,0,0,0,3,102.0,3491.0,3593.0,847.0651011049913,527.5944901694438,90.49285197770871,0.0,8.344370003504565,14.98521737751911,3.3533993779866065,8.406219379683815,3.578946453035572,0.6873713931504716,858.7822426345215,847.0651011049913,0.98635609710142,8.304559814754816,0.995229095937377,0.12677835955911537,1,deflect,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,79.46808510638297,5.668498168498169,527.5944901694437,851.8132387706856,76.99139784946236,90.49285197770871,124.78014184397163,93.83861048208458
199,Track_50387,569,569,142,4,0,0,0,6,151.0,3497.0,3648.0,713.8695898033927,975.5390365271758,191.65174362368077,0.0,5.149478057147651,18.18407912834064,0.016098712498120425,1.2690478062096733,6.513841911067703,0.8971634461006648,745.8437309124741,714.3122666746164,0.9571302408482218,4.727613177505912,0.9180761865649323,0.9348066637114254,0,Ungrouped,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,48.267605633802816,786.9685534591196,975.5390365271758,1501.1147540983607,175.62783171521036,191.65174362368077,207.19819819819818,89.01582920932354
200,Track_50389,571,571,102,6,0,0,0,1,107.0,3508.0,3615.0,1479.26407033539,745.5148773502856,179.67565995182792,0.0,13.83768050000581,20.956662498578826,1.7738059088384563,16.042930704456747,5.407357886606549,0.8524389377996033,1502.1209085884036,1479.26407033539,0.9847836228612962,13.824897853601776,0.9990762435652399,0.13365081853692085,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,40.068627450980394,21.462222222222223,745.5148773502856,1500.3722943722944,149.5692883895131,179.67565995182792,209.51851851851853,100.80134862140414
201,Track_50399,581,581,96,6,0,0,0,2,102.0,3572.0,3674.0,1471.2780501727616,739.5766146439904,181.3465394933097,0.0,14.41829257400759,20.946931648006373,1.1127784477436427,16.708116895030052,5.454611204015011,0.7980283576374253,1493.6695184796915,1471.2780501727616,0.9850090880011257,14.424294609536878,1.0004162792160363,0.14821278905353194,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,38.067708333333336,3.9025157232704406,739.5766146439905,1474.74531835206,150.52263374485597,181.3465394933097,212.44979919678713,99.44204043186585
202,Track_50404,586,586,423,3,0,0,0,2,426.0,3619.0,4045.0,795.1421207646329,479.7981573277613,153.58814428967634,0.0,1.9806992244007218,17.168169690838848,0.020169156581079737,1.3703889206568411,2.313137021431214,0.9342019705203126,858.589781619416,795.1421207646329,0.9261024738320175,1.8665307999169785,0.9423595349171271,0.7207952620250767,1,deflect,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,44.36643026004728,6.403954802259887,479.7981573277614,793.8125,80.04545454545455,153.58814428967634,209.79166666666669,87.97987986171059
203,Track_50408,590,590,118,3,0,0,0,3,122.0,3645.0,3767.0,1487.9371213338454,752.5791651017846,216.09171156859125,0.0,12.641015191943506,20.113733726215234,0.6372639300552913,15.962570100025134,6.2574049763969946,0.8812512596279888,1510.6169343420956,1487.9371213338454,0.9849863903332132,12.196205912572504,0.9648122185902844,0.19384066278553103,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,45.398305084745765,11.125,752.5791651017846,1498.8217054263566,181.12449799196787,216.09171156859125,242.6231884057971,98.22169647199739
204,Track_50409,591,591,134,3,0,0,0,1,136.0,3652.0,3788.0,1488.3773458219696,751.3329950227993,221.78139715102736,0.0,11.106067943472993,19.849826818406775,0.5747535894170855,14.874130456560938,6.438414954734572,0.8832517026075676,1511.3563906181334,1488.3773458219696,0.9847957470926063,10.943951072220365,0.985402856161356,0.16468261429093278,2,pass,demo1,20.0,-0.23385902587326707,19.76614097412673,5,3.0,3.0,Straight,3.0,2,3.0,3.0,25.0,1,Media,3.0,44.6865671641791,5.993055555555556,751.3329950227993,1494.1935483870968,187.37362637362637,221.7813971510273,247.39147286821708,95.87635028860909
