LABEL,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,GROUP_ID,GROUP_NAME,meta_vidID,meta_date,meta_flow_direction,meta_frame_rate,meta_ridge_angle,meta_calib_angle,meta_true_angle,meta_ridge_number,meta_ridge_spacing,meta_ridge_width,meta_ridge_design,meta_gap_size,meta_gutter_number,meta_gutter_size,meta_channel_width,meta_flowrate,meta_sheath_number,meta_media,meta_cell_conc,spots_AREA_mean,spots_POSITION_X_min,spots_POSITION_X_mean,spots_POSITION_X_max,spots_POSITION_Y_min,spots_POSITION_Y_mean,spots_POSITION_Y_max,spots_MEAN_INTENSITY_CH1_mean
Track_3814,0,169,0,0,0,0,0,168.0,0.0,168.0,94.58569178179953,862.1844081963494,116.02539937107584,0.0,0.790104842337358,2.7247964121111874,0.052724733233642546,0.8815953334155557,0.4937402143286886,0.947950581474417,132.73761351267606,97.01035750872553,0.7125764075362622,0.5630100701297591,0.7125764075362618,1.3800492479193225,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,44.56508875739645,810.4007936507937,862.1844081963494,903.7375,100.81012658227849,116.02539937107585,127.76190476190476,120.65546284213181
Track_3815,1,119,0,0,0,0,0,118.0,0.0,118.0,736.8652775715168,509.32370322837664,90.2225843799267,0.0,6.361919418572741,17.28598117865852,1.1793043320198378,3.4738503148520112,4.884461274094193,0.9443279710136542,750.7064913915832,736.8652775715168,0.9815624162321962,6.244620996368787,0.9815624162321959,0.20470004147081125,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,43.226890756302524,11.90262172284644,509.32370322837687,746.9230769230769,65.5,90.22258437992666,125.64102564102565,131.83932122657743
Track_3816,2,194,1,0,0,0,2,195.0,0.0,195.0,825.6083848533021,676.0724113672509,91.1714762876419,0.0,4.42912164989533,17.448429640852613,0.014548227557201482,1.1719991428169163,5.765840841422347,0.9256169905060345,855.7541725667454,825.6083848533021,0.9647728416876729,4.233889153093857,0.9559207192229442,0.8801267833174918,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,46.93041237113402,9.994152046783626,676.0724113672507,834.8534798534799,64.86315789473684,91.17147628764188,107.80586080586082,125.84433534693146
Track_3817,3,124,2,0,0,0,1,125.0,0.0,125.0,120.77021832310629,819.5362450849051,103.7173064147224,0.0,1.0996229844071068,5.491570159308181,0.044058747346615496,1.0260220554037078,0.844731060436332,0.8819566133522219,141.86721296567876,120.77021832310629,0.8512905540219757,0.9661617465848503,0.8786300034513957,1.1719370519109271,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,43.274193548387096,764.5585585585586,819.5362450849051,882.1304347826087,90.98534798534799,103.71730641472239,121.76825396825396,127.12888667932336
Track_3818,4,83,1,0,0,0,1,83.0,0.0,83.0,31.98243815841126,806.2827994752329,100.25439391559412,0.0,0.8769563416373,6.953696774216609,0.03015199469094099,0.6161772166552741,1.1145897442956372,0.8777677560427103,74.19925287863344,31.98243815841126,0.43103450395551063,0.3853305802218224,0.43939539738363753,1.5562880532431511,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,46.71084337349398,788.45,806.2827994752329,819.695652173913,95.93537414965986,100.25439391559412,104.11355311355312,120.10119501074028
Track_3819,5,105,0,0,0,0,0,104.0,0.0,104.0,17.174639313241602,1007.9250400296561,159.12376665017518,0.0,0.39491362137748404,1.5400159612170647,0.0,0.2111064845476586,0.4033004050782088,0.9296422140938895,41.07101662325833,17.174639313241602,0.41816932536107915,0.1651407626273231,0.41816932536107904,1.5658248805691617,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,40.03333333333333,998.6460905349794,1007.9250400296564,1015.4291187739464,155.90079365079364,159.12376665017527,161.13063063063063,118.85417629999688
Track_3820,6,134,1,0,0,0,1,134.0,0.0,134.0,804.4442157461581,602.5496208459042,86.27630174753479,0.0,6.193081864674036,17.47175108922806,0.052447160616746535,4.0507595727061725,5.898737229936387,0.8733148045504271,826.5307514188063,804.4442157461581,0.973278023068428,6.003315042881777,0.9693582571748797,0.7437910848002192,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,47.735074626865675,9.252525252525253,602.5496208459044,813.4642857142857,65.19934640522875,86.27630174753476,102.93253968253968,132.37411795878444
Track_3821,7,764,3,0,0,0,2,767.0,0.0,767.0,1023.6535217049527,877.9548364407738,127.6086012556586,0.0,1.5248527341314253,18.820593790181253,0.0,0.5846932273616832,3.5544893679250467,0.9321861138752617,1179.4718516436542,1023.6535217049527,0.8678914382555543,1.3346199761472657,0.8752451605810193,1.4408261235592792,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,46.20811518324607,3.0555555555555554,877.9548364407738,1022.7471264367816,65.3395061728395,127.60860125565866,162.29122807017544,125.2569057354864
Track_3822,8,110,0,0,0,0,0,109.0,0.0,109.0,804.2864550746916,554.1038965729862,83.12799671917857,0.0,7.549744448569463,18.094578254292756,0.049338694501561815,7.626360293059759,5.81426433937594,0.8921042821624062,822.9221448940718,804.2864550746916,0.9773542492020566,7.378774817199005,0.977354249202057,0.5729185095397086,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,46.74090909090909,3.5350877192982457,554.1038965729861,807.4145299145299,65.59925093632958,83.12799671917858,101.14285714285714,129.7391972069475
Track_3823,9,286,0,0,0,0,0,285.0,0.0,285.0,50.59995190734631,279.2100870573283,77.31323265597119,0.0,0.4227146094988192,4.693389634353405,0.0010938725036471427,0.20470349501663163,0.4951689972414978,0.9356389110321766,120.47366370716347,55.78484715542058,0.4200084097246359,0.1775436909029695,0.4200084097246358,1.499397054783618,1,deflected,20_10_20,2021-08-27,Left,3000,15.0,0.89284896057699,15.89284896057699,5,240,20,Straight,6.9,2,80,560,50,2,Flow Buffer,1.5,36.12762237762238,250.41666666666666,279.2100870573285,304.33333333333337,70.07407407407408,77.31323265597113,84.45273631840796,124.29471140425909
