LABEL,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,GROUP_ID,GROUP_NAME,meta_vidID,meta_date,meta_flow_direction,meta_frame_rate,meta_ridge_angle,meta_calib_angle,meta_true_angle,meta_ridge_number,meta_ridge_spacing,meta_ridge_width,meta_ridge_design,meta_gap_size,meta_gutter_number,meta_gutter_size,meta_channel_width,meta_flowrate,meta_sheath_number,meta_media,meta_cell_conc,spots_AREA_mean,spots_POSITION_X_min,spots_POSITION_X_mean,spots_POSITION_X_max,spots_POSITION_Y_min,spots_POSITION_Y_mean,spots_POSITION_Y_max,spots_MEAN_INTENSITY_CH1_mean
Track_17367,0,818,2,0,0,0,1,819.0,0.0,819.0,80.27418160956749,816.937680853051,105.02156797919129,0.0,0.25103723045235293,4.21521397025069,0.0,0.1078802459057903,0.3780860520317292,0.9436204515051434,209.73897371957247,90.10777868520337,0.3827337389230128,0.09801487376015566,0.3904395917033468,1.3865026915328447,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,43.974938875305625,768.4752475247525,816.9376808530508,855.616858237548,91.4659090909091,105.02156797919133,115.9920634920635,122.72720457735667
Track_17368,1,2303,1,0,0,0,3,2305.0,0.0,2305.0,52.19734310803572,1117.9681568931815,191.3123911005491,0.0,0.19042438386087868,6.69320200950526,0.0,0.08706663965438757,0.36469227826087974,0.9151063229123562,439.69133372732574,53.01333885708224,0.11871360453150497,0.022645268159668424,0.11892000226301234,1.6271628303876762,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,39.8797221016066,1089.81981981982,1117.968156893181,1143.3970588235295,182.99583333333334,191.31239110054915,198.97058823529412,112.89538532205064
Track_17369,2,647,0,0,0,0,0,646.0,0.0,646.0,20.926607745474893,1113.2153635470936,189.57747593620908,0.0,0.17588634486200305,2.827908774305892,0.0,0.08661285538284003,0.28657369248815817,0.950383507118343,113.6225787808541,20.926607745474893,0.18417649000764555,0.032394129636958036,0.18417649000764572,1.6143531655692784,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,44.019319938176196,1101.952380952381,1113.2153635470945,1121.864468864469,185.42857142857142,189.57747593620914,192.29432624113477,115.07597273018413
Track_17370,3,3955,1,0,0,0,1,3955.0,0.0,3955.0,1024.7691052769007,911.2066651105716,134.0896096716565,0.0,0.4015751873342778,10.278882341665797,0.0,0.08658917068621828,1.2046513209276175,0.9568702189569678,1594.5041126121341,1024.7691052769007,0.6426882798051319,0.2591072326869534,0.6452271974445181,1.3983419842293698,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,48.87522123893805,5.272988505747126,911.2066651105705,1026.1848184818482,65.53846153846153,134.08960967165663,164.4346405228758,120.70186709073924
Track_17371,4,350,0,0,0,0,0,349.0,0.0,349.0,9.012295246902902,1000.1322311584395,158.54543687466528,0.0,0.14045559005970282,3.902425523877567,0.0,0.08751479169056092,0.28113178193636634,0.9349819781099047,49.01900093083628,11.490469950301298,0.18385309932405328,0.025823195549865046,0.18385309932405322,1.5124186608431596,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,39.52142857142857,994.3116883116883,1000.1322311584397,1005.4750957854405,155.61333333333334,158.5454368746653,160.13095238095238,113.79809823657261
Track_17372,5,1513,0,0,0,0,0,1512.0,0.0,1512.0,75.25350034662443,1015.4387076571363,161.52725581942073,0.0,0.16746651450713448,3.2079724512717553,0.0,0.0779816588174197,0.28974774429797734,0.9572403405725917,253.2093699347869,75.25350034662443,0.2971987188546999,0.0497708335625823,0.2971987188546994,1.332829819824077,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,46.901520158625246,972.7894736842105,1015.438707657137,1045.6631944444446,149.96825396825398,161.52725581942065,170.30107526881721,117.00182135856062
Track_17373,6,720,1,0,0,0,2,721.0,0.0,721.0,11.071908882131162,977.0585785067397,151.02879098047032,0.0,0.19397652032482232,5.160588545131535,0.0,0.08248843369781757,0.37617614019967055,0.9036890555587079,143.56114850919818,20.769100637040644,0.07712329552324365,0.015356322998794953,0.07916588550552463,1.5116392765205537,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,37.706944444444446,967.0555555555555,977.0585785067385,988.4297188755021,148.43055555555554,151.02879098047018,153.92045454545453,121.68776643176155
Track_17374,7,1042,1,0,0,0,1,1042.0,0.0,1042.0,858.4153374209533,769.0984899618854,101.47686682448222,0.0,0.9888055821707588,10.132447728474254,0.0,0.14345991561180974,2.1297941045447786,0.9380330461400942,1029.8831258054786,858.4153374209533,0.8335075271279747,0.8238151030911259,0.8331416387057367,1.2871676227447921,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,44.25,5.273273273273274,769.0984899618844,862.6392156862745,65.76923076923077,101.47686682448207,117.90196078431372,125.17135479994285
Track_17375,8,721,0,0,0,0,0,720.0,0.0,720.0,23.32270726518657,1149.0782539737886,199.55543779930522,0.0,0.1671002131071702,2.537853231514379,0.0,0.09277149461699338,0.251996159608342,0.9230927235541165,120.31215343716248,23.32270726518657,0.19385163176692474,0.032392648979425794,0.19385163176692466,1.6554681688499846,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,40.39459084604716,1136.7254901960785,1149.0782539737884,1159.7701149425288,196.5904761904762,199.5554377993049,202.1146953405018,115.19587693719293
Track_17376,9,556,1,0,0,0,2,557.0,0.0,557.0,3.3861578660008256,992.9307623688869,156.2989806729356,0.0,0.17974056871501953,6.168585253721476,0.0,0.07792617909769878,0.4003309433818919,0.9386055818993411,104.81565018382884,12.847109020014376,0.032305842305629745,0.006079278035908125,0.03382251474650045,1.4137103554767072,1,deflected,10_5_10,2021-08-27,Left,3000,15.0,0.9010388911251015,15.9010388911251,5,240,20,Straight,6.8999999999999995,2,80,560,25,2,Flow Buffer,1.5,41.094424460431654,987.1711711711712,992.9307623688865,999.7106227106227,154.44,156.2989806729358,158.19753086419752,116.61546977942528
