LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_49820,2,2,282,3,0,0,0,1,284.0,0.0,284.0,812.4700061267033,454.515575185537,134.27151349734802,0.0,2.9871117594942738,17.01827104018834,0.06337687728194637,2.111161812373023,3.249803802885556,0.900206965334872,850.5023436870708,812.4700061267033,0.955282501168085,2.8608098807278286,0.9577177257044348,0.5050672537677314
Track_49823,5,5,64,7,0,0,0,3,72.0,0.0,72.0,956.8976873682817,585.2803156888281,188.3015797249183,0.0,13.544740840234333,21.035600897534422,0.5761422531609643,16.873629712018854,6.150322143264244,0.8415491697378457,992.0211437236135,956.8976873682817,0.9645940446153257,13.290245657892802,0.9812107750644029,0.29267458157875
Track_49824,6,6,38,0,0,0,0,0,37.0,0.0,37.0,523.0055597332397,287.03887327378243,214.18504092732232,0.0,14.179122100671439,16.26129570839723,2.7223793749705285,15.420835328488199,3.451635224962216,0.9531041242574391,524.6275177248431,523.0055597332397,0.9969083627205882,14.135285398195668,0.996908362720588,0.06045619691433283
Track_49825,7,7,133,8,0,0,0,2,142.0,0.0,142.0,1051.6931941972337,613.5280039796347,189.4848292833845,0.0,7.456791501485682,20.895352951503284,0.03325909259363944,2.265852252669217,7.2888946464357325,0.8656996125565436,1080.9680182115835,1051.6931941972337,0.9729179554610841,7.406290099980518,0.9932274623080044,0.49836209567209233
Track_49826,8,8,86,1,0,0,0,1,86.0,0.0,86.0,812.2704877982794,504.64910039346745,224.21417212009828,0.0,9.541415922051957,17.085598773540514,0.07251818498781472,13.63828364555949,6.8645259645757575,0.932688465645147,825.8515825218133,812.2704877982794,0.9835550418368604,9.445005672073016,0.989895603465297,0.3482856835476647
Track_49827,9,9,77,1,0,0,0,1,77.0,0.0,77.0,932.1082978853823,521.9268960054962,223.57560563796804,0.0,12.363933057110264,20.73612304115036,0.7060487394445911,15.874084112550497,6.229994192955738,0.8925520290027965,949.6798487746678,932.1082978853823,0.9814973952411885,12.10530256994003,0.9790818596335329,0.15634026003699364
Track_49828,10,10,82,2,0,0,0,1,83.0,0.0,83.0,1106.7751933345369,598.0467711516328,187.60583713505633,0.0,13.495305666792905,20.29898626739514,1.1586821376313652,17.292546345922705,6.371825495653376,0.8757182098016506,1128.1348696303075,1106.7751933345369,0.9810663805624852,13.334640883548637,0.9880947651567755,0.1511954795646352
Track_49841,23,23,166,3,0,0,0,1,168.0,85.0,253.0,1488.9976278364923,724.190310974643,197.68026875637995,0.0,8.88603011855374,19.373235209078306,0.049274225449270605,8.297755369252059,7.235433852959772,0.9116036877574691,1519.4645241982246,1488.9976278364923,0.9799489255086039,8.863081118074358,0.9974174068539939,0.4039851371988457
Track_49846,28,28,88,1,0,0,0,2,89.0,145.0,234.0,644.4931199956789,1059.5019061690566,197.73413343292603,0.0,7.207411517225092,19.262717843293448,0.1262779875926679,2.1829040451974504,7.23420760788554,0.9224921583452008,659.6446520094115,644.9144310844783,0.9770307665383505,7.241495730288526,1.004729050503357,0.6313789196293442
Track_49847,29,29,139,0,0,0,0,0,138.0,152.0,290.0,1488.712354524543,698.7332240256459,190.74323782505377,0.0,11.002000690093881,20.833985838168775,0.17477946355413396,14.178373131718716,6.734330008665593,0.918925991161264,1518.276095232955,1488.712354524543,0.9805280865573557,10.787770684960456,0.9805280865573553,0.36871560752584176
Track_49848,30,30,96,3,0,0,0,1,98.0,155.0,253.0,1452.1220905988687,779.7906496806546,175.0570929640717,0.0,14.949963841406747,20.316888054221394,3.0165758666449705,17.14958201091513,5.178702721074805,0.8336679361139735,1474.614895084036,1452.1220905988687,0.9847466585613964,14.81757235304968,0.9911443606311352,0.11876472917150645
Track_49852,34,34,110,8,0,0,0,2,119.0,190.0,309.0,703.9121367409733,1012.8979636912525,189.41287001156175,0.0,6.4723950803340315,19.14547433677541,0.044244407666800566,1.7675820442926031,7.001402752274036,0.8721313785422932,728.5369111660839,704.5640516983261,0.9661996886531163,5.915228039840112,0.9139164044254905,0.588953940057886
